Word,Valence,Arousal,Dominance,VD_PC1,plutchik_label,insideout2_label
stepmother,3.67,3.69,4.17,-1.5378893203294606,sadness,ennui
steps,4.95,3.0,6.17,0.6793643653250594,trust,ennui
stepson,4.81,3.65,4.57,-0.6041185587729071,disgust,ennui
stereo,7.1,4.04,6.81,2.3542169593390305,trust,joy
stereotype,3.33,4.26,3.81,-1.9977857922054767,disgust,anxiety
sterile,4.57,4.47,4.95,-0.4508523899493102,disgust,disgust
sterilize,5.59,4.24,6.64,1.388559877704075,trust,joy
sterling,5.89,5.32,5.64,0.8013140563249038,anticipation,disgust
stern,3.9,3.91,5.58,-0.3476793004767421,disgust,ennui
sternum,4.45,3.71,4.7,-0.7058226742115258,disgust,ennui
steroid,3.62,5.21,5.05,-0.9024156160371826,disgust,disgust
stethoscope,5.14,4.56,5.24,0.08386095260319622,anticipation,disgust
stew,5.86,2.95,5.36,0.5736539109716281,trust,ennui
steward,5.06,2.57,5.64,0.34094570759946374,trust,ennui
stewardess,5.9,4.14,4.97,0.301919169727897,anticipation,ennui
stick,5.27,3.81,5.82,0.5930803699820718,anticipation,ennui
sticker,5.57,4.05,5.52,0.5333853624024678,anticipation,ennui
stickler,3.74,3.82,5.22,-0.7077368533520606,disgust,ennui
stickup,2.95,6.09,3.24,-2.6381339346659622,fear,fear
sticky,4.65,4.75,5.19,-0.2256049723288308,anticipation,disgust
stiff,4.29,4.0,4.95,-0.606157375061507,disgust,ennui
stigma,3.9,5.24,4.62,-1.0711775594018629,disgust,disgust
stillness,5.19,2.78,5.25,0.11913042585608252,disgust,ennui
stimulant,6.0,5.95,5.41,0.6889886045134096,anticipation,envy
stimulate,7.38,6.0,7.14,2.758224470956738,joy,joy
stimulating,6.84,6.3,6.2,1.7502823354237969,surprise,joy
stimulation,5.14,4.71,5.3,0.12907959378601597,anticipation,disgust
stimulus,5.63,4.7,6.21,1.0866793756717976,anticipation,joy
sting,2.55,4.88,3.45,-2.7017329549720874,fear,anxiety
stinger,3.9,4.96,4.36,-1.2671250045274163,disgust,disgust
stinging,3.57,6.47,4.47,-1.3672621805268592,anger,envy
stingy,2.53,4.73,4.54,-1.89135418670649,disgust,disgust
stink,2.35,4.48,4.76,-1.8253914213701812,disgust,disgust
stinker,3.3,4.0,3.8,-2.021962052236063,disgust,anxiety
stinky,3.16,3.76,4.29,-1.730328975132464,sadness,ennui
stint,4.57,3.33,5.65,0.07669842385025713,anticipation,ennui
stipend,6.05,3.77,4.41,-0.036922382144508686,anticipation,ennui
stipulate,4.86,4.11,5.71,0.2827686567564235,anticipation,ennui
stir,5.35,3.05,6.71,1.3081964004164346,trust,ennui
stitch,4.95,3.36,5.11,-0.11949829557142794,disgust,ennui
stitching,4.68,3.52,5.45,-0.013017707369828128,anticipation,ennui
stock,5.5,3.5,4.62,-0.18372050161788184,disgust,ennui
stockade,2.67,4.67,4.36,-1.9493576176988514,disgust,disgust
stockbroker,4.05,3.1,5.44,-0.36999036406940705,disgust,ennui
stockholder,4.9,3.5,4.4,-0.6823185826238811,disgust,ennui
stocking,5.33,4.08,5.0,0.008371913483763817,anticipation,ennui
stockings,6.21,4.81,4.81,0.35328093151935613,anticipation,disgust
stockpile,5.53,4.55,5.5,0.49612605556359535,anticipation,disgust
stockroom,4.86,3.26,5.62,0.21494069498219345,anticipation,ennui
stoic,4.47,3.29,6.04,0.3151535254270881,anticipation,ennui
stomach,4.53,3.76,5.4,-0.13389900752275932,disgust,ennui
stomachache,2.16,5.21,4.1,-2.428181999993049,fear,anxiety
stomp,3.9,4.82,6.44,0.3004545564770122,anticipation,disgust
stone,4.81,3.25,7.26,1.423183854256858,trust,ennui
stonewall,4.58,3.7,5.24,-0.2267490176211969,disgust,ennui
stony,4.53,4.09,4.96,-0.4655023761967733,disgust,ennui
stooge,3.3,3.75,3.55,-2.21037305716448,sadness,sadness
stool,4.47,2.39,5.2,-0.3179074511323925,sadness,ennui
stoop,4.67,3.17,4.29,-0.8927913768488323,sadness,ennui
stop,4.73,4.14,5.06,-0.27920584200240905,disgust,ennui
stopover,4.5,3.43,5.33,-0.203293908736166,disgust,ennui
stopper,4.65,4.35,5.74,0.18889923851368617,anticipation,ennui
stopwatch,5.05,4.05,6.21,0.7649761922251046,anticipation,ennui
storage,4.95,3.68,6.23,0.7245830065078798,anticipation,ennui
store,5.94,3.43,5.44,0.6783182854379207,anticipation,ennui
storefront,5.76,3.0,5.22,0.4126776821002152,anticipation,ennui
storeroom,5.43,2.9,5.68,0.5763159130005562,trust,ennui
storm,5.74,5.86,3.72,-0.7288815606925851,anger,anger
stormy,5.14,6.52,4.53,-0.4512263013935076,anger,envy
story,7.27,3.52,5.33,1.3331161225523507,trust,ennui
storybook,6.76,3.4,6.32,1.796346764900238,trust,joy
storyteller,6.67,4.29,5.9,1.429896817120149,trust,joy
